dataset_id,model,condition,sample_fraction,chain,AUROC_mean,AUROC_median,AUROC_std,AUROC_count,AUPRC_mean,AUPRC_median,AUPRC_std,AUPRC_count,balanced_accuracy_mean,balanced_accuracy_median,balanced_accuracy_std,balanced_accuracy_count,F1_mean,F1_median,F1_std,F1_count,Brier_mean,Brier_median,Brier_std,Brier_count,calibration_intercept_mean,calibration_intercept_median,calibration_intercept_std,calibration_intercept_count,calibration_slope_mean,calibration_slope_median,calibration_slope_std,calibration_slope_count,dataset_name
D013,logistic_regression,C5,1.0,PRIMARY,0.9606837053771572,0.963253652106264,0.021023816745344037,6,0.9777268112637776,0.9801693605732619,0.012575991122952409,6,0.8746549488037352,0.8691117008534877,0.034595258447548356,6,0.8938709550363785,0.9039955604883463,0.037680548049965325,6,0.08842385523410949,0.08525767781805935,0.025870217133825337,6,0.9012187057978922,0.9118596604028164,0.3558287804886435,6,1.2001084468642613,1.1800142571961656,0.4350712017393867,6,Early Stage Diabetes Risk Prediction
D013,logistic_regression,C6,1.0,PRIMARY,0.956619370735651,0.9530923289005186,0.01459433572203832,6,0.9754295728862133,0.9742800828767506,0.010651547130374493,6,0.8784129813152517,0.8778448883900847,0.030750492863388254,6,0.8980214957137577,0.898989898989899,0.02296564983130122,6,0.08274964983649934,0.08349043289409419,0.014972946940699073,6,0.3401680177632099,0.4328043107546641,0.3613518203407507,6,0.9066342060026719,0.7713555146570708,0.32103282874662137,6,Early Stage Diabetes Risk Prediction
D013,random_forest,C0,0.5,0,0.926639069895154,0.921474358974359,0.028813782396921287,6,0.9573626789791345,0.957685909812994,0.022990068183820354,6,0.826131273538643,0.8124790969899666,0.03857626362777064,6,0.8808027831102265,0.8830409356725146,0.041581227687785195,6,0.10531105350208268,0.11089026061150181,0.026276633575891526,6,0.21599436641501216,0.16319335652894346,0.4079390297924538,6,1.00391750775467,1.0055124648551104,0.23308628447927462,6,Early Stage Diabetes Risk Prediction
D013,random_forest,C0,0.75,0,0.9339918930131065,0.9443097872388126,0.056726009305250735,6,0.9516230257933854,0.9559853208158398,0.04579417371398982,6,0.8451168346895247,0.8362505791707768,0.05572446031125252,6,0.8695908179784219,0.8552130898021308,0.049425745768455646,6,0.10482196225321128,0.09539640197621681,0.03975036496631899,6,12.258140412758772,0.2980910517160441,29.637457773714317,6,14.507304701125141,1.4914639251964075,32.11209890682978,6,Early Stage Diabetes Risk Prediction
D013,random_forest,C0,1.0,PRIMARY,0.956411060256658,0.9548259186692023,0.016750939458153286,6,0.9751071246431962,0.9761543186057058,0.009485456655214653,6,0.8894095639676681,0.8997195857125913,0.032050386968261055,6,0.9121084081115369,0.9175714316427666,0.03241737607229622,6,0.08254846558571606,0.08152709669991631,0.0120941878977392,6,0.4228255338864803,0.42911692462677264,0.3199293084560807,6,1.500292160872549,1.5577385345407617,0.6236378622651297,6,Early Stage Diabetes Risk Prediction
D013,random_forest,C1,1.0,PRIMARY,0.996606334841629,0.996606334841629,,1,0.9972269064699939,0.9972269064699939,,1,0.9903846153846154,0.9903846153846154,,1,0.9927007299270073,0.9927007299270073,,1,0.04399376543784479,0.04399376543784479,,1,-0.5852545146250189,-0.5852545146250189,,1,3.5523396792309305,3.5523396792309305,,1,Early Stage Diabetes Risk Prediction
D013,random_forest,C2,0.5,0,0.9165956237567492,0.9165956237567492,0.011554032372329206,2,0.9512069434218902,0.9512069434218902,0.007521175181601639,2,0.87057757885763,0.87057757885763,0.007660825812087853,2,0.9105202973127502,0.9105202973127502,0.0020214602092240527,2,0.11008979409932626,0.11008979409932626,0.006646644673226641,2,0.05990600457816843,0.05990600457816843,0.008644997300200404,2,1.0592125722752077,1.0592125722752077,0.26035753263291017,2,Early Stage Diabetes Risk Prediction
D013,random_forest,C2,0.75,0,0.9484053361604381,0.9484053361604381,0.007371552273170189,2,0.9685120118182694,0.9685120118182694,0.0029776762707588566,2,0.8769325912183055,0.8769325912183055,0.018803705374781505,2,0.9109777747814558,0.9109777747814558,0.0015381904406584334,2,0.08967704980227752,0.08967704980227752,0.004332834367671803,2,0.10842405636203027,0.10842405636203027,0.1522104717133707,2,1.2655046536073535,1.2655046536073535,0.22694638100735223,2,Early Stage Diabetes Risk Prediction
D013,random_forest,C2,1.0,PRIMARY,0.96594140625,0.96594140625,0.002137893158743705,2,0.979513987712804,0.979513987712804,0.0016523693304026047,2,0.911875,0.911875,0.0022097086912079927,2,0.9223953941135439,0.9223953941135439,0.011602172670248144,2,0.07501566820195474,0.07501566820195474,0.0020269116259520412,2,0.12431001310224189,0.12431001310224189,0.20886044661863998,2,1.4388360325885985,1.4388360325885985,0.05570212334283624,2,Early Stage Diabetes Risk Prediction
D013,random_forest,C3,0.5,0,0.9265506614836667,0.917143564969652,0.020878336160822773,6,0.9583697751057523,0.9588036906584267,0.01748769313591957,6,0.8092460519432764,0.8124979187479188,0.025036457613909397,6,0.8597286425015812,0.8733790999237223,0.05646308671312606,6,0.10280565759681305,0.10792638088903153,0.026735713000220953,6,0.25912579819135667,0.2615207998018292,0.33135633005616416,6,1.1785670013824017,1.1009057699768519,0.4094400919186629,6,Early Stage Diabetes Risk Prediction
D013,random_forest,C3,0.75,0,0.9367515285460438,0.9383946670515351,0.04804919054344986,6,0.9542417266158957,0.9554524764233746,0.041090187880827994,6,0.8639387831254091,0.8889503988374045,0.06141726630121163,6,0.8909192071359975,0.9126356589147286,0.04805520482026534,6,0.09845546911869531,0.08871358524626091,0.04117047523626066,6,0.5311186917423137,-0.10805934521276792,1.4244084330817521,6,1.5250216717053895,1.088686040834812,1.027994566846926,6,Early Stage Diabetes Risk Prediction
D013,random_forest,C3,1.0,PRIMARY,0.9544048506099037,0.9546978668433892,0.010776241149078453,6,0.9738946378166701,0.9754206297733703,0.008671840538196383,6,0.8834598239042828,0.8836607330166117,0.032773779509715294,6,0.9104866439064795,0.9099025974025974,0.01764376035249065,6,0.08247022962993984,0.0817851085032126,0.012187048217082648,6,0.36872282252420047,0.36701534161248217,0.31019362084990676,6,1.2814310649878966,1.107758263305107,0.3324375122236071,6,Early Stage Diabetes Risk Prediction
D013,random_forest,C4,0.5,0,0.9092194502623133,0.899890839836492,0.04264154470709573,6,0.9455023091463101,0.9555975585804206,0.03609524301938985,6,0.8343780195007294,0.83075608422204,0.05957618288849682,6,0.8706120981022498,0.8693598633303186,0.06036898982534209,6,0.12580903289133885,0.13516874151199976,0.031221024316247264,6,0.6291465933259088,0.5383449888155671,0.47254701693817275,6,1.3572978191709468,0.9028823344278696,1.4748498776885277,6,Early Stage Diabetes Risk Prediction
D013,random_forest,C4,0.75,0,0.9210161600862091,0.9382277234104565,0.06865264666376555,6,0.92987295770128,0.9514452846236485,0.08242887334429357,6,0.8379893095843279,0.817180540609213,0.06580631440960887,6,0.87031297318739,0.847192745514181,0.062511452396328,6,0.11339986419328278,0.10003842557124562,0.04782948859822524,6,1.1452080565312024,0.27374888347718807,2.2841870396547708,6,1.51268500952635,0.9303651684402638,1.4117633682302582,6,Early Stage Diabetes Risk Prediction
D013,random_forest,C4,1.0,PRIMARY,0.9513914170583302,0.9526630194518125,0.01249023703512099,6,0.9706252027946513,0.9726998649840795,0.008906552847286002,6,0.8685583706232342,0.8726515505297489,0.02230899781462606,6,0.887222279515811,0.8932588243616043,0.03381349532469169,6,0.08683121494357153,0.08263756134196451,0.015832490347075293,6,0.49172462632358976,0.4415217197799634,0.3640463681302545,6,1.1667779115773387,1.1701778921096548,0.3005479088772542,6,Early Stage Diabetes Risk Prediction
D013,random_forest,C5,0.5,0,0.97130712287945,0.9843308865047995,0.035507769369176156,6,0.9874878365258386,0.9883338898690787,0.01260699772833446,6,0.8951110859967163,0.912904929209277,0.05804286776097471,6,0.9113776036752345,0.9248863940122962,0.05607852220647756,6,0.06992154687134602,0.06410233502805393,0.02697046496184136,6,4.802098808839447,1.810027646905076,6.7194106662011075,6,4.31577446194652,2.109562280432092,5.957136115745613,6,Early Stage Diabetes Risk Prediction
D013,random_forest,C5,0.75,0,0.9868017026203457,0.9865767045454545,0.00902901094903622,6,0.990900842139053,0.9900413620912031,0.006610593612082622,6,0.9114680610936358,0.9149655032467533,0.049513703192585835,6,0.9120421029541298,0.924096622152396,0.05657090209032136,6,0.06298273653378601,0.06152106046711707,0.011345342842843166,6,33.03644805140583,1.3020487861319614,78.28953348129451,6,20.87132235990993,1.5782766817930587,46.151925232038415,6,Early Stage Diabetes Risk Prediction
D013,random_forest,C5,1.0,PRIMARY,0.9723330334528449,0.9760427841364696,0.01458020712800862,6,0.9835760079916352,0.9871557077969759,0.010052349635577685,6,0.901829005502198,0.9208273595116845,0.052265499619879856,6,0.9081125894679221,0.9387267451783581,0.0640158776992868,6,0.07581159001109403,0.07468213521399056,0.02503083615332874,6,1.0226829375989157,1.038967552417678,0.35968887793803817,6,1.5394419358897542,1.6904172503947037,0.3941592379890621,6,Early Stage Diabetes Risk Prediction
D013,random_forest,C6,1.0,PRIMARY,0.9676387907300411,0.9682483385921383,0.014036327146261254,6,0.9815105561738219,0.9805502553165952,0.007902016941471347,6,0.9267071051335702,0.9244649062064414,0.017285216568342063,6,0.940622021004171,0.9363408521303258,0.0187448623001147,6,0.06451970885624994,0.06876556603174602,0.013640968673400812,6,0.1844072342702661,0.17311042093082557,0.35086487833028557,6,1.2908889728169117,1.1927361593980443,0.3245474032243171,6,Early Stage Diabetes Risk Prediction
D014,gradient_boosted_trees,C0,0.5,0,0.7419579258143907,0.7492662184151546,0.03323931057837089,6,0.780214407800194,0.7847073710213784,0.03476280259975175,6,0.6636371217729438,0.6625432571481203,0.039403696987362395,6,0.6177159907300663,0.6236599351782598,0.06638387476832065,6,0.22321474549403642,0.22423815036688766,0.02326330457918076,6,0.09260071495786926,0.031148128823382297,0.21679356276024472,6,0.5055026311220346,0.4921292053655099,0.13883606958965053,6,Diabetic Retinopathy Debrecen
D014,gradient_boosted_trees,C0,0.75,0,0.7415723625346166,0.746638712165028,0.023003021794309332,6,0.7905794196880215,0.7893835728963605,0.01173828019799639,6,0.6637569018499706,0.6672443650933353,0.01922468817351775,6,0.6414748635085241,0.6441276115189158,0.04471687293183556,6,0.22599146499091263,0.2258884096110259,0.011499013590819833,6,-0.0020192428214359653,0.05352552736697835,0.22748130457844212,6,0.44057013359020725,0.4176461260592034,0.05703009640343099,6,Diabetic Retinopathy Debrecen
