"fitted","normalized_residual","dataset_id","condition","model"
0.10934199061293,-3.18569113826413,"D010","C5","random_forest"
0.111743763005929,-3.0563581183025,"D010","C5","random_forest"
0.00167539314808705,-0.0941587938570876,"D011","C2","gradient_boosted_trees"
-0.00347589608072875,-0.0888350676710017,"D011","C2","gradient_boosted_trees"
-0.00645548929913502,0.080253650353929,"D011","C2","gradient_boosted_trees"
-0.00516166733248573,0.156431469452069,"D011","C3","gradient_boosted_trees"
-0.00685495447744878,-0.0913907044806754,"D011","C3","gradient_boosted_trees"
-0.00783438053369184,0.173464111853952,"D011","C3","gradient_boosted_trees"
-0.00838220967578261,0.351051675763239,"D011","C4","gradient_boosted_trees"
-0.0163718592557255,0.284011884468847,"D011","C4","gradient_boosted_trees"
-0.0209932083294045,-0.0568627974636862,"D011","C4","gradient_boosted_trees"
0.0240739474857702,-0.575575841736953,"D011","C5","gradient_boosted_trees"
0.027845825813571,-1.24254279288317,"D011","C5","gradient_boosted_trees"
0.0300275443284819,-1.33569826447627,"D011","C5","gradient_boosted_trees"
-0.00139565552551721,0.266799144928717,"D011","C2","logistic_regression"
-0.00654694475433301,0.307013881456742,"D011","C2","logistic_regression"
-0.00952653797273928,0.27624361060736,"D011","C2","logistic_regression"
-0.00233139902176561,0.22176734471346,"D011","C3","logistic_regression"
-0.00402468616672867,0.154608430899584,"D011","C3","logistic_regression"
-0.00500411222297173,0.152436518565177,"D011","C3","logistic_regression"
-0.00273686926848216,-0.367915464270326,"D011","C4","logistic_regression"
-0.0107265188484251,-0.557628256857169,"D011","C4","logistic_regression"
-0.0153478679221041,-0.492703357762645,"D011","C4","logistic_regression"
-0.0261235690698189,0.989820142418466,"D011","C5","logistic_regression"
-0.0223516907420182,0.735514664434464,"D011","C5","logistic_regression"
-0.0201699722271073,0.719253587834506,"D011","C5","logistic_regression"
-0.00497122141823644,0.211718555951011,"D011","C2","random_forest"
-0.0101225106470522,0.0556344029988359,"D011","C2","random_forest"
-0.0131021038654585,0.144276224816827,"D011","C2","random_forest"
-0.00783039899766053,0.148021896449752,"D011","C3","random_forest"
-0.00952368614262359,-0.112690043428426,"D011","C3","random_forest"
-0.0105031121988666,0.138928690177875,"D011","C3","random_forest"
-0.0122361216243823,0.249681176191486,"D011","C4","random_forest"
-0.0202257712043252,-0.0886107748796127,"D011","C4","random_forest"
-0.0248471202780042,-0.217478579020546,"D011","C4","random_forest"
0.0129445720462943,-0.121699449938295,"D011","C5","random_forest"
0.016716450374095,-0.728524108660345,"D011","C5","random_forest"
0.0188981688890059,-0.630486958995703,"D011","C5","random_forest"
