dataset_id,dataset_name,model,condition,delta_AUROC,sample_fraction,analysis_rows,analysis_predictors,minority_count,missing_predictor_cells,rows_in_analysis_frame,display_index,minority_prevalence,missingness_rate,feature_to_sample_ratio,log_sample_size,log_feature_to_sample_ratio,z_log_sample_size,z_log_feature_to_sample_ratio,z_minority_prevalence,z_missingness_rate
D002,Chronic Kidney Disease,random_forest,C4,2.7659281967684635e-05,1.0,400,24,150,1012,400.0,Dataset 02,0.375,0.10541666666666667,0.06,5.991464547107982,-2.8134107167600364,-0.23861639400994764,0.6479885502803712,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,random_forest,C5,0.0004747819160303,0.5,400,24,150,1012,200.0,Dataset 02,0.375,0.10541666666666667,0.12,5.298317366548036,-2.120263536200091,-1.5081692447037085,1.4709453190549606,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,random_forest,C5,0.0008904995403034,0.75,400,24,150,1012,300.0,Dataset 02,0.375,0.10541666666666667,0.08,5.703782474656201,-2.5257286443082556,-0.7655284343642131,0.9895464696071742,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,random_forest,C5,0.000345119599428,1.0,400,24,150,1012,400.0,Dataset 02,0.375,0.10541666666666667,0.06,5.991464547107982,-2.8134107167600364,-0.23861639400994764,0.6479885502803712,0.5243659897368481,1.8882966566072075
D003,ILPD Indian Liver Patient,gradient_boosted_trees,C2,0.0390427193676677,0.5,583,10,167,4,293.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.034129692832764506,5.680172609017068,-3.3775875160230218,-0.8087717354513566,-0.021844825315251296,-0.19729221387688184,-0.5794896424076861
D003,ILPD Indian Liver Patient,gradient_boosted_trees,C2,-0.0006026022258839,0.75,583,10,167,4,439.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.022779043280182234,6.0844994130751715,-3.7819143200811256,-0.06821581731403907,-0.5018921940830409,-0.19729221387688184,-0.5794896424076861
D003,ILPD Indian Liver Patient,gradient_boosted_trees,C2,0.0049966370335616,1.0,583,10,167,4,583.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.017152658662092625,6.368187186350492,-4.065602093356446,0.45138035413356487,-0.8387077792621047,-0.19729221387688184,-0.5794896424076861
D003,ILPD Indian Liver Patient,gradient_boosted_trees,C3,0.0260626576226311,0.5,583,10,167,4,293.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.034129692832764506,5.680172609017068,-3.3775875160230218,-0.8087717354513566,-0.021844825315251296,-0.19729221387688184,-0.5794896424076861
D003,ILPD Indian Liver Patient,gradient_boosted_trees,C3,-0.0311181168880324,0.75,583,10,167,4,439.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.022779043280182234,6.0844994130751715,-3.7819143200811256,-0.06821581731403907,-0.5018921940830409,-0.19729221387688184,-0.5794896424076861
D003,ILPD Indian Liver Patient,gradient_boosted_trees,C3,0.0168912619604338,1.0,583,10,167,4,583.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.017152658662092625,6.368187186350492,-4.065602093356446,0.45138035413356487,-0.8387077792621047,-0.19729221387688184,-0.5794896424076861
D003,ILPD Indian Liver Patient,gradient_boosted_trees,C4,0.0429115701650905,0.5,583,10,167,4,293.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.034129692832764506,5.680172609017068,-3.3775875160230218,-0.8087717354513566,-0.021844825315251296,-0.19729221387688184,-0.5794896424076861
D003,ILPD Indian Liver Patient,gradient_boosted_trees,C4,-0.0118439793662732,0.75,583,10,167,4,439.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.022779043280182234,6.0844994130751715,-3.7819143200811256,-0.06821581731403907,-0.5018921940830409,-0.19729221387688184,-0.5794896424076861
D003,ILPD Indian Liver Patient,gradient_boosted_trees,C4,0.0041200728494654,1.0,583,10,167,4,583.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.017152658662092625,6.368187186350492,-4.065602093356446,0.45138035413356487,-0.8387077792621047,-0.19729221387688184,-0.5794896424076861
D003,ILPD Indian Liver Patient,gradient_boosted_trees,C5,0.1313200613058744,0.5,583,10,167,4,293.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.034129692832764506,5.680172609017068,-3.3775875160230218,-0.8087717354513566,-0.021844825315251296,-0.19729221387688184,-0.5794896424076861
D003,ILPD Indian Liver Patient,gradient_boosted_trees,C5,0.1262063537251976,0.75,583,10,167,4,439.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.022779043280182234,6.0844994130751715,-3.7819143200811256,-0.06821581731403907,-0.5018921940830409,-0.19729221387688184,-0.5794896424076861
D003,ILPD Indian Liver Patient,gradient_boosted_trees,C5,0.1624723491892941,1.0,583,10,167,4,583.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.017152658662092625,6.368187186350492,-4.065602093356446,0.45138035413356487,-0.8387077792621047,-0.19729221387688184,-0.5794896424076861
D003,ILPD Indian Liver Patient,logistic_regression,C2,0.0314869924081507,0.5,583,10,167,4,293.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.034129692832764506,5.680172609017068,-3.3775875160230218,-0.8087717354513566,-0.021844825315251296,-0.19729221387688184,-0.5794896424076861
